strategy,split,n_markets,n_traded,trade_rate,total_fills,total_pnl,gross_pnl,total_fees,capital_deployed,avg_pnl_per_market,median_pnl,pnl_per_1k_deployed,gross_pnl_per_1k_deployed,fee_per_1k_deployed,fee_fraction_gross_pnl,avg_return,return_ci95_lo,return_ci95_hi,win_rate,profit_factor,sharpe,sharpe_per_market,t_stat,max_drawdown,turnover,avg_holding_candles,early_exit_rate,model,iteration,seed
qlearning_seed00,train,5915,769,0.13000845308537617,1451,-18856.975584099557,-11614.201181258848,7242.774402840709,76900.0,-3.18799249097203,0.0,-245.21424686735443,-151.02992433366512,94.18432253368931,,-0.0318799249097203,-0.038782059534390775,-0.02494395356267316,0.24577373211963588,0.3960062071054347,-22.91949219503709,-0.12243989328641992,-9.416734305116622,19579.090848821572,1.7211762086079618,4.88296488946684,0.8582574772431729,qlearning_seed00,0,0
qlearning_seed01,train,5915,15,0.00253592561284869,30,86.79313011459328,216.6240374413807,129.8309073267874,1500.0,0.014673394778460403,0.0,57.862086743062186,144.41602496092045,86.55393821785827,0.5993374920912005,0.00014673394778460407,-0.00048575009725057767,0.0007574287496402858,0.7333333333333333,1.3928205069593576,1.1517885826751357,0.0061530539137249094,0.47322545222302875,85.65000557032491,2.1444160249609205,6.133333333333334,1.0,qlearning_seed01,1,1
qlearning_seed02,train,5915,2778,0.46965342349957734,6349,-25677.963134822327,-14609.985544259756,11067.97759056257,277800.0,-4.341160293292025,0.0,-92.43327262355048,-52.59174062008552,39.84153200346498,,-0.04341160293292024,-0.04811279900802657,-0.03864938185474631,0.21850251979841612,0.27102975350434394,-43.458565747092344,-0.23216317827526106,-17.85544650986751,25774.19768058378,2.2331730587708916,6.57451403887689,0.9877609791216703,qlearning_seed02,2,2
qlearning_seed03,train,5915,141,0.023837700760777684,216,-1221.1514292023817,-898.1605211295338,322.9909080728479,14100.0,-0.20644994576540687,0.0,-86.60648434059443,-63.69932773968325,22.907156600911197,,-0.0020644994576540687,-0.003928933149701607,-0.00048256960532987446,0.6099290780141844,0.5647706218554773,-5.777078131186394,-0.030862151040280828,-2.373578321820838,1249.6900370149538,1.4626879362601803,2.404255319148936,0.5177304964539007,qlearning_seed03,3,3
qlearning_seed04,train,5915,1807,0.3054945054945055,2144,-996.8242036740037,30.70328184330924,1027.527485517313,180700.0,-0.168524801973627,0.0,-5.516459345179877,0.16991301518156748,5.686372360361444,33.46637309852361,-0.0016852480197362702,-0.003696799463809493,0.00022222115559471128,0.8865522966242391,0.8004820982495653,-4.163368982558687,-0.022241437532671802,-1.7105675461434644,1234.324360054175,1.1767511436894973,1.21306032097399,0.17432208079690095,qlearning_seed04,4,4
qlearning_seed05,train,5915,1617,0.2733727810650888,1769,-2136.8474605583456,-468.9140881679009,1667.9333723904447,161700.0,-0.3612590803987059,0.0,-13.21488843882712,-2.899901596585658,10.314986842241463,,-0.00361259080398706,-0.005310659504802894,-0.0019553886970402968,0.9239332096474954,0.5168821709821623,-10.400688830721133,-0.05556227946509678,-4.27324141720307,2220.4705416142347,1.080434348501598,1.1286332714904144,0.08286951144094001,qlearning_seed05,5,5
qlearning_seed06,train,5915,1775,0.30008453085376163,2166,-2799.353182117087,-878.3284492847874,1921.0247328322994,177500.0,-0.47326342892934686,0.0,-15.771003842913165,-4.9483292917452815,10.822674551167884,,-0.00473263428929347,-0.007857936556022937,-0.0017794289902881338,0.8647887323943662,0.6949235639840298,-7.354648703287682,-0.03928980601867969,-3.021741151897215,2979.8088970925355,1.198591409210339,1.4101408450704225,0.1847887323943662,qlearning_seed06,6,6
qlearning_seed07,train,5915,1579,0.2669484361792054,1707,-340.5791929707229,436.55939358421284,777.1385865549357,157900.0,-0.05757889991051951,0.0,-2.156929657825984,2.764783999900018,4.921713657726002,1.780144003258115,-0.000575788999105195,-0.002777558711517366,0.001551345574856046,0.9385687143761875,0.9257039119803984,-1.2542937388456592,-0.0067006541954425115,-0.5153408626495878,1067.47530694925,1.076103973801096,2.916402786573781,0.0785307156428119,qlearning_seed07,7,7
qlearning_seed08,train,5915,958,0.16196111580726966,1917,-1181.5749432125594,-550.9427949042187,630.6321483083408,95800.0,-0.1997590774661977,0.0,-12.333767674452604,-5.750968631568044,6.582799042884559,,-0.0019975907746619774,-0.0025401247586811153,-0.001434148378307372,0.45407098121085593,0.3748175635559362,-17.020426266961163,-0.09092606232643152,-6.9930359081213425,1184.4661799850464,1.9952537753043575,3.2453027139874737,0.9968684759916493,qlearning_seed08,8,8
qlearning_seed09,train,5915,242,0.04091293322062553,488,-2619.8358006122235,-1547.1491433149445,1072.686657297279,24200.0,-0.4429139138820327,0.0,-108.2576777112489,-63.93178278160927,44.325894929639624,,-0.004429139138820327,-0.006350637073665603,-0.002486330142206519,0.4256198347107438,0.4669936276609824,-11.098825805154545,-0.05929184798788632,-4.560078941388749,2660.2738076167084,1.9546709968017628,3.56198347107438,0.9917355371900827,qlearning_seed09,9,9
