model,iteration,env_name,win_rate,num_markets,avg_pnl_per_market,total_pnl,pnl_per_1k_capital,sharpe_ratio,max_drawdown,turnover,total_fees_paid,fee_fraction_gross_pnl,avg_holding_period
0.7T_0.1E_qtableITER11,11,training,57.291666666666664,96,0.07510145721770835,7.209739892899996,0.007209739892899996,0.169888753942185,1.5406500857000003,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER12,12,training,61.458333333333336,96,0.11697092038645833,11.229208357100001,0.011229208357100002,0.2747999719475956,1.622560419100001,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER13,13,training,64.58333333333334,96,0.08625792901458335,8.280761185400001,0.008280761185400002,0.20206171061224196,1.8488685723999998,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER14,14,training,58.333333333333336,96,0.07556039666145832,7.253798079500001,0.007253798079500001,0.17265654188853588,3.435353927699999,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER15,15,training,56.25,96,0.06646289433333336,6.380437855999999,0.006380437855999998,0.1573482870617297,2.1418618189000007,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER16,16,training,61.458333333333336,96,0.136753731909375,13.1283582633,0.013128358263300001,0.3145352220992939,2.0464550386000013,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER17,17,training,41.66666666666667,96,0.006154644061458343,0.5908458298999995,0.0005908458298999994,0.014053449752382274,4.009904124300001,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER18,18,training,65.625,96,0.1405783073958333,13.495517510000003,0.013495517510000003,0.3083510562707461,1.7550004149999978,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER19,19,training,51.041666666666664,96,0.02236977786250002,2.1474986748000022,0.002147498674800002,0.05386833735033267,2.171086031799999,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER20,20,training,57.291666666666664,96,0.04920037926666667,4.723236409599999,0.004723236409599999,0.11594446787526413,2.5965593320000004,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER21,21,training,58.333333333333336,96,0.10816160501979168,10.383514081900001,0.0103835140819,0.2422511720320382,1.9906726150000011,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER22,22,training,60.416666666666664,96,0.09177826672083338,8.8107136052,0.0088107136052,0.21542066740753577,1.627853867199999,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER23,23,training,52.083333333333336,96,0.12943403804270834,12.425667652100001,0.012425667652100002,0.27932353033274193,1.9801801439000002,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER24,24,training,58.333333333333336,96,0.099456793375,9.547852163999998,0.009547852163999998,0.22987380230418858,2.1237080323999997,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER25,25,training,55.208333333333336,96,0.07504881804687502,7.204686532500007,0.007204686532500008,0.1718659197048557,2.6251357710999965,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER26,26,training,61.458333333333336,96,0.12240283340625001,11.750672006999997,0.011750672006999996,0.24823799085190196,2.039285403199999,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER27,27,training,60.416666666666664,96,0.11198152665416668,10.750226558800001,0.010750226558800001,0.2626725072459505,2.553464754,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER28,28,training,58.333333333333336,96,0.04896958424166666,4.7010800871999985,0.004701080087199999,0.10505140666040794,2.5909782663999987,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER29,29,training,62.5,96,0.12485980829791667,11.986541596599995,0.011986541596599995,0.28750642883050104,2.1907698203000017,5760.0,0.0,0.0,60.0
