model,iteration,env_name,win_rate,num_markets,avg_pnl_per_market,total_pnl,pnl_per_1k_capital,sharpe_ratio,max_drawdown,turnover,total_fees_paid,fee_fraction_gross_pnl,avg_holding_period
0.8T_0.2E_qtableITER0,0,training,66.81396376491384,6789,-0.007865969541173853,-53.40206721502914,-0.053402067215029145,-0.04910793915799139,55.65285905712636,406965.0,89.40554945372571,0.3155476624631175,59.944763588157315
0.8T_0.2E_qtableITER1,1,training,62.29194284872588,6789,-0.008518864363002992,-57.834570160425926,-0.057834570160425924,-0.05724186856723724,58.388858843602385,406965.0,47.08883839431826,0.2533712852093825,59.944763588157315
0.8T_0.2E_qtableITER2,2,training,64.75180438945353,6789,-0.005594701587006353,-37.98242907418609,-0.03798242907418609,-0.03949465398551794,39.64891003271255,406965.0,63.55553710187731,0.2831376969518161,59.944763588157315
0.8T_0.2E_qtableITER3,3,training,63.411400795404326,6789,-0.005783116838134942,-39.261580214098046,-0.03926158021409805,-0.04097508476591779,41.06497028689776,406965.0,55.79381816858767,0.27346947501962665,59.944763588157315
0.8T_0.2E_qtableITER4,4,training,66.81396376491384,6789,-0.0050933534405387055,-34.57877650781742,-0.034578776507817426,-0.0343468186864021,36.993102811053575,406965.0,50.03787823061171,0.23530187820030632,59.944763588157315
0.8T_0.2E_qtableITER5,5,training,67.25585505965532,6789,-0.004826966776441121,-32.77027744525874,-0.03277027744525874,-0.033362960616777404,34.73746646127336,406965.0,56.926414862050315,0.2565889683303458,59.944763588157315
0.8T_0.2E_qtableITER6,6,training,66.57828840771836,6789,-0.005541723326112523,-37.62275966097791,-0.03762275966097791,-0.037298452536727845,38.377587215255275,406965.0,38.230464258868274,0.19686514359742308,59.944763588157315
0.8T_0.2E_qtableITER7,7,training,66.6961260863161,6789,-0.0038624211531577382,-26.221977208788005,-0.026221977208788005,-0.026973770527790895,29.420410212219217,406965.0,54.76009272737981,0.2549919222642864,59.944763588157315
0.8T_0.2E_qtableITER8,8,training,60.93680954485197,6789,-0.009403847232165035,-63.84271885916725,-0.06384271885916724,-0.06594632572304004,64.0347426732606,406965.0,57.45094016945727,0.3097116362782324,59.944763588157315
0.8T_0.2E_qtableITER9,9,training,71.95463249373988,6789,-0.0033385833645811374,-22.665642462141626,-0.022665642462141627,-0.021148618492306266,25.382424134929114,406965.0,55.18275365883519,0.2150209881783411,59.944763588157315
0.8T_0.2E_qtableITER10,10,training,67.25585505965532,6789,-0.007096374657628881,-48.17728755064223,-0.048177287550642225,-0.046594635098565686,50.38125801310027,406965.0,58.41869710553189,0.2623163137275334,59.944763588157315
0.8T_0.2E_qtableITER11,11,training,60.37708057151274,6789,-0.0021693323268669007,-14.727597167099521,-0.014727597167099522,-0.01733203455875127,21.07694947068061,406965.0,32.76968142749128,0.20662938145035828,59.944763588157315
0.8T_0.2E_qtableITER12,12,training,62.55707762557078,6789,-0.005366425183811943,-36.43266057289909,-0.03643266057289909,-0.04067275660292351,40.655767446432804,406965.0,44.314392467389496,0.24418080638185113,59.944763588157315
0.8T_0.2E_qtableITER13,13,training,63.882751509795256,6789,-0.005837462750741235,-39.630534614782,-0.039630534614782,-0.04217276578422706,40.9302418120739,406965.0,60.00767908097328,0.2852130417461695,59.944763588157315
0.8T_0.2E_qtableITER14,14,training,64.69288555015467,6789,-0.005090703298912842,-34.560784696319296,-0.0345607846963193,-0.03599119349899916,35.93888529093824,406965.0,57.49638886621292,0.27644948662104135,59.944763588157315
0.8T_0.2E_qtableITER15,15,training,63.499779054352636,6789,-0.004069504608398697,-27.62786678641903,-0.02762786678641903,-0.028377464959203666,31.977886264765537,406965.0,45.55786719720805,0.23492486266237692,59.944763588157315
0.8T_0.2E_qtableITER16,16,training,67.38842244807778,6789,-0.0029429271495918065,-19.979532418578902,-0.019979532418578902,-0.01986505240899493,23.096305663146005,406965.0,42.438782069970074,0.20352046307754598,59.944763588157315
0.8T_0.2E_qtableITER17,17,training,64.2804536750626,6789,-0.004347245534484636,-29.51344993361631,-0.02951344993361631,-0.03256454436448995,34.226788251804784,406965.0,57.53339568370851,0.2866100943107247,59.944763588157315
0.8T_0.2E_qtableITER18,18,training,68.44896155545736,6789,-0.003771824764053487,-25.606918323159185,-0.025606918323159186,-0.02667238963759485,29.531690284215035,406965.0,46.069934454553795,0.22701598665439174,59.944763588157315
0.8T_0.2E_qtableITER19,19,training,67.064368831934,6789,-0.00591129883515,-40.131807791833296,-0.0401318077918333,-0.03703832683331516,41.258168008401256,406965.0,45.50134617052691,0.2040819049320831,59.944763588157315
0.8T_0.2E_qtableITER20,20,training,65.79761378700839,6789,-0.008629224388259832,-58.58380437189582,-0.05858380437189582,-0.057970611223249625,61.0504091962387,406965.0,74.75017470958731,0.31155573264435804,59.944763588157315
0.8T_0.2E_qtableITER21,21,training,69.03814994844602,6789,-0.0047027157869226986,-31.926737477418335,-0.03192673747741834,-0.0319778844879321,36.7844342130846,406965.0,48.87506026781051,0.22220539110426044,59.944763588157315
0.8T_0.2E_qtableITER22,22,training,59.8910001472971,6789,-0.0050462142455176455,-34.25874851281922,-0.034258748512819216,-0.03958013661574762,38.25195159210469,406965.0,51.87503422001164,0.28207646346292764,59.944763588157315
0.8T_0.2E_qtableITER23,23,training,63.08734717926057,6789,-0.0036506480297086715,-24.784249473692388,-0.02478424947369239,-0.02763316864837394,29.02734224580448,406965.0,40.44562234068175,0.22904152008244352,59.944763588157315
0.8T_0.2E_qtableITER24,24,training,66.8728826042127,6789,-0.005712180017101645,-38.77999013610316,-0.03877999013610316,-0.03772577306125157,39.559553381880896,406965.0,48.82205080579589,0.23314842653434498,59.944763588157315
0.8T_0.2E_qtableITER25,25,training,64.41302106348505,6789,-0.0061583887279951606,-41.80930107435875,-0.04180930107435875,-0.04291261044189575,43.156166566315974,406965.0,56.82834448525217,0.27511095378640765,59.944763588157315
0.8T_0.2E_qtableITER26,26,training,68.4931506849315,6789,-0.007495793474059379,-50.888941895388946,-0.050888941895388944,-0.04567792878174156,53.749980691095864,406965.0,52.712177387980546,0.22418222516269487,59.944763588157315
0.8T_0.2E_qtableITER27,27,training,68.77301517160112,6789,-0.002767720057193163,-18.790051468284446,-0.018790051468284445,-0.017550561488332412,26.48043275725139,406965.0,49.19917860157825,0.20553685000359181,59.944763588157315
0.8T_0.2E_qtableITER28,28,training,64.35410222418618,6789,-0.006650899601261239,-45.15295739296188,-0.04515295739296188,-0.045679105833827637,46.47690189842804,406965.0,38.10089022135036,0.2079213123913691,59.944763588157315
0.8T_0.2E_qtableITER29,29,training,69.14125791721904,6789,-0.005986881588598773,-40.644939104996745,-0.040644939104996745,-0.03800538837911187,42.540614165153045,406965.0,47.60425099039004,0.21296728016150454,59.944763588157315
