model,iteration,env_name,win_rate,num_markets,avg_pnl_per_market,total_pnl,pnl_per_1k_capital,sharpe_ratio,max_drawdown,turnover,total_fees_paid,fee_fraction_gross_pnl,avg_holding_period
0.7T_0.2E_qtableITER0,0,training,68.7963587322994,5932,-0.004085096332970636,-24.232791447182002,-0.024232791447182003,-0.028905965340981936,27.568954915135947,355597.0,34.2198335630758,0.20137335993987066,59.94554956169926
0.7T_0.2E_qtableITER1,1,training,63.90761968981794,5932,-0.006868728766937697,-40.74529904547415,-0.04074529904547415,-0.04820834831899242,41.606726340223794,355597.0,61.47379797166253,0.3227715287308965,59.94554956169926
0.7T_0.2E_qtableITER2,2,training,71.1564396493594,5932,-0.00574526424293428,-34.080907489086,-0.034080907489086,-0.03561007271664482,40.844089656534244,355597.0,60.0104274565807,0.25450921454347986,59.94554956169926
0.7T_0.2E_qtableITER3,3,training,71.47673634524612,5932,-0.00503659615916212,-29.87708841614999,-0.029877088416149993,-0.029913839332606558,34.21077373712214,355597.0,52.596574644844644,0.22187978682100953,59.94554956169926
0.7T_0.2E_qtableITER4,4,training,63.30074173971679,5932,-0.005484151134600632,-32.53198453045112,-0.03253198453045112,-0.036509188321848546,34.999559632253295,355597.0,38.0866420818438,0.20935415292028958,59.94554956169926
0.7T_0.2E_qtableITER0,0,training,65.1888064733648,5932,-0.003962540203906001,-23.505788489570488,-0.023505788489570488,-0.02856450374404774,26.099016860944843,355597.0,56.55505717976503,0.2854311581508571,59.94554956169926
0.7T_0.2E_qtableITER1,1,training,63.68846931894808,5932,-0.005191904199646144,-30.798375712301024,-0.030798375712301023,-0.036400948646451575,34.39198179711185,355597.0,59.28171477099391,0.3055490234754889,59.94554956169926
0.7T_0.2E_qtableITER2,2,training,73.12879298718813,5932,-0.004064069809723996,-24.108062111282948,-0.024108062111282948,-0.024775228727901926,25.413752739794365,355597.0,44.811660321473674,0.20133078789203468,59.94554956169926
0.7T_0.2E_qtableITER3,3,training,66.77343223196223,5932,-0.006598659476635935,-39.143248015404275,-0.039143248015404274,-0.04274174836448117,40.30545409123535,355597.0,56.153924796896014,0.2708883477093064,59.94554956169926
0.7T_0.2E_qtableITER4,4,training,73.36480107889413,5932,-8.840493670548553e-05,-0.5244180845369355,-0.0005244180845369355,-0.000569538517665989,10.797653489622933,355597.0,46.93609205853085,0.20264219306890122,59.94554956169926
0.7T_0.2E_qtableITER5,5,training,60.24949426837492,5932,-0.005452861402071181,-32.34637383708644,-0.03234637383708644,-0.04008158598440807,37.115773361491755,355597.0,41.2046444672778,0.2635753133743814,59.94554956169926
0.7T_0.2E_qtableITER6,6,training,66.85772083614296,5932,-0.004902293645850484,-29.080405907185277,-0.02908040590718528,-0.03279392604987689,30.261870906686188,355597.0,49.27125504407523,0.2492865921626057,59.94554956169926
0.7T_0.2E_qtableITER7,7,training,59.895482130815914,5932,-0.0040537099006649055,-24.046607130744402,-0.024046607130744403,-0.028697080126328597,27.752545936396057,355597.0,47.28844615773508,0.25652524422264683,59.94554956169926
0.7T_0.2E_qtableITER8,8,training,66.38570465273095,5932,-0.002351823853389148,-13.951019098304588,-0.013951019098304589,-0.01664724541420933,21.28988367818735,355597.0,47.70127778949689,0.2432823696121281,59.94554956169926
0.7T_0.2E_qtableITER9,9,training,63.82333108563722,5932,-0.004697370566054658,-27.864802197836433,-0.027864802197836432,-0.03414162114185862,29.16209115745703,355597.0,40.715258247427116,0.24106235756381256,59.94554956169926
0.7T_0.2E_qtableITER10,10,training,63.92447741065408,5932,-0.004957389551429195,-29.407234819078052,-0.029407234819078053,-0.03439701968867957,30.36797074284602,355597.0,46.899499339573474,0.2462715279069841,59.94554956169926
0.7T_0.2E_qtableITER11,11,training,72.35333782872556,5932,0.0003861424759657595,2.290597167428865,0.002290597167428865,0.0024934089773288332,11.262306622953666,355597.0,36.26350369196429,0.16605367209911442,59.94554956169926
0.7T_0.2E_qtableITER12,12,training,60.822656776803775,5932,-0.007135832362990474,-42.329757577259585,-0.04232975757725958,-0.049660279703128585,43.98409604416273,355597.0,62.209939527152514,0.30876400753674954,59.94554956169926
0.7T_0.2E_qtableITER13,13,training,62.154416722859075,5932,-0.003264533603825825,-19.365213337894936,-0.019365213337894937,-0.023269367840883553,22.825523766924213,355597.0,43.772429816087396,0.2436075742701272,59.94554956169926
0.7T_0.2E_qtableITER14,14,training,71.20701281186783,5932,-0.0025903750573491786,-15.366104840195646,-0.015366104840195646,-0.01748325086061451,21.14575130760049,355597.0,35.297269415189696,0.18016079596690635,59.94554956169926
0.7T_0.2E_qtableITER15,15,training,66.45313553607552,5932,-0.007671593712926995,-45.50789390508296,-0.04550789390508296,-0.049515024187921884,46.16597534993005,355597.0,55.177224429374746,0.2647586099919896,59.94554956169926
0.7T_0.2E_qtableITER16,16,training,64.64935940660823,5932,-0.004362740356440624,-25.879775794405997,-0.025879775794405997,-0.028149498623021817,33.3394624084506,355597.0,28.103580629300893,0.16142712978410248,59.94554956169926
0.7T_0.2E_qtableITER17,17,training,69.45380984490896,5932,-0.006564629917857457,-38.941384672730386,-0.03894138467273039,-0.04221873061197162,43.00133947610612,355597.0,58.94316051972358,0.26644445992615967,59.94554956169926
0.7T_0.2E_qtableITER18,18,training,64.3627781523938,5932,-0.007644149978289402,-45.34509767121258,-0.04534509767121258,-0.05111168037606144,46.98906593073764,355597.0,52.48799407940087,0.2752727862316411,59.94554956169926
0.7T_0.2E_qtableITER19,19,training,61.10923803101821,5932,-0.005937670202987121,-35.22225964411965,-0.03522225964411965,-0.04194104429031514,39.30552830462682,355597.0,49.2917723238117,0.269675807678156,59.94554956169926
0.7T_0.2E_qtableITER20,20,training,63.469318948078225,5932,-0.006543278275895885,-38.814726732614425,-0.03881472673261442,-0.04344510708328884,41.149822987507555,355597.0,44.556359893107285,0.24577553311673922,59.94554956169926
0.7T_0.2E_qtableITER21,21,training,69.06608226567768,5932,-0.007102169207707605,-42.13006774012122,-0.04213006774012122,-0.04683135630961812,43.98398938188564,355597.0,53.187028172112335,0.2681725635933251,59.94554956169926
0.7T_0.2E_qtableITER22,22,training,76.48347943358058,5932,-0.006335490059324954,-37.582127031915554,-0.03758212703191555,-0.03827977403088706,40.202979476228364,355597.0,58.79792846600906,0.24435503255412122,59.94554956169926
0.7T_0.2E_qtableITER23,23,training,61.76668914362779,5932,-0.0031926828628416146,-18.938994742376615,-0.018938994742376616,-0.023205868626693025,22.12980367780185,355597.0,37.97536312306719,0.2283660414972774,59.94554956169926
