strategy,split,n_markets,n_traded,trade_rate,total_fills,total_pnl,gross_pnl,total_fees,capital_deployed,avg_pnl_per_market,median_pnl,pnl_per_1k_deployed,gross_pnl_per_1k_deployed,fee_per_1k_deployed,fee_fraction_gross_pnl,avg_return,return_ci95_lo,return_ci95_hi,win_rate,profit_factor,sharpe,sharpe_per_market,t_stat,max_drawdown,turnover,avg_holding_candles,early_exit_rate,n_seeds
momentum_flip,val,1332.0,1331.0,0.9992492492492493,5867.0,-36296.38510053106,-20742.046360421817,15554.33874010924,133100.0,-27.249538363762056,0.0142740181117773,-272.7001134525249,-155.8380643157161,116.86204913680871,,-0.2724953836376206,-0.32348570221118256,-0.2201656954411777,0.5003756574004508,0.4572971301302523,-51.25746773781151,-0.27382626222882583,-9.9937207661827,36313.755246581255,3.7431566302768915,57.420736288504884,0.0,
buy_and_hold_down,val,1332.0,1332.0,1.0,1332.0,-4861.028191867112,-342.0205526486616,4519.00763921845,133200.0,-3.6494205644647986,56.280336631583886,-36.494205644647984,-2.5677218667316937,33.926483777916296,,-0.03649420564464798,-0.08836879148847696,0.014150400477664079,0.5165165165165165,0.9270386887594162,-6.99256638847975,-0.03735549963838463,-1.3633478010056084,8607.899353699671,1.0,59.0,0.0,
no_trade,val,1332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,
buy_and_hold,val,1332.0,1332.0,1.0,1332.0,-1322.3286763944825,2781.9396865339922,4104.268362928475,133200.0,-0.9927392465424043,61.204457076160466,-9.927392465424044,20.88543308208703,30.812825547511075,1.4753261484406825,-0.009927392465424036,-0.05777591613258712,0.04019508015698183,0.5713213213213213,0.9775392203592472,-2.0897097566172156,-0.011163591122459788,-0.40743284269960944,4367.291171644933,1.0,58.97597597597598,0.0,
xgboost_theta_0.01,val,1332.0,1332.0,1.0,1332.0,-4368.49023373856,-207.93569093428505,4160.554542804275,133200.0,-3.2796473226265466,52.84663794239837,-32.79647322626546,-1.5610787607679057,31.23539446549756,,-0.03279647322626547,-0.08309238309354024,0.01886712904724449,0.551051051051051,0.9292196020467942,-6.578053549799359,-0.03514110032700425,-1.2825298100553117,7409.825132174581,1.0,57.721471471471475,0.0,
qlearning (mean of 30),val,1332.0,201.8,0.1515015015015015,307.8666666666667,-870.509445922298,-517.1673206019316,353.34212532036656,20180.0,-0.6535356200617853,0.0,-59.57730610372755,-36.081973756741476,23.49533234698606,0.14183804930339905,-0.006535356200617853,-0.010883564038635031,-0.0023934851149572966,0.6048363037616248,0.7993308123823039,-10.592775197551134,-0.05658843807525719,-2.065284184633653,999.3581524185133,1.3429923696029649,2.387696546883537,0.4566524848535893,30.0
